time,open,high,low,close,EMA Fast,EMA Slow,LongSignal,ShortSignal
1770376440,24814.160446112543,24827.25,24807.5,24815.6875,24786.362279759283,24749.47145898605,1,
1770376560,24814.92397305627,24825.25,24813,24818.4375,24789.278208872074,24752.176009614046,1,
1770376680,24816.680736528135,24827,24813.5,24820.0625,24792.076780792795,24754.8382249233,1,
1770376800,24818.371618264067,24828.5,24816.75,24821.9375,24794.791391629813,24757.469569043955,1,
1770376920,24820.154559132032,24833.25,24818.75,24823.3125,24797.384219663465,24760.051644767722,1,
1770377040,24821.733529566016,24823.75,24812.5,24817.875,24799.247017875878,24762.31922732585,1,
1770377160,24819.804264783008,24821.5,24803.5,24813.9375,24800.582516250797,24764.34347331307,1,
1770377280,24816.870882391504,24820.75,24811.75,24815.4375,24801.932969318907,24766.347160634126,1,
1770377400,24816.154191195754,24824.5,24809.25,24816.8125,24803.28565392628,24768.326193550434,1,
1770377520,24816.483345597877,24831.75,24812.25,24824.4375,24805.20854902389,24770.526636940613,1,
1770377640,24820.46042279894,24839.5,24819,24830.75,24807.53049911263,24772.888337452747,1,
1770377760,24825.60521139947,24861.5,24825.60521139947,24846.25,24811.050453738753,24775.765265395778,1,
1770377880,24835.927605699733,24858.5,24835.927605699733,24849.8125,24814.57427612614,24778.669078517512,1,
1770378000,24842.870052849867,24858.25,24840.25,24848.5,24817.658432841945,24781.40754602663,1,
1770378120,24845.685026424933,24858.5,24844.25,24850.875,24820.678120765406,24784.131759907938,1,
1770378240,24848.28001321247,24849.5,24838.25,24843.5,24822.75283705946,24786.459926186057,1,
1770378360,24845.890006606234,24846.25,24836.5,24841.1875,24824.4287155086,24788.60610555131,1,
1770378480,24843.538753303117,24851,24835.75,24841.75,24826.00337773509,24790.690179843416,1,
1770378600,24842.64437665156,24848.75,24831,24838.875,24827.17352521372,24792.57978063387,1,
1770378720,24840.75968832578,24840.75968832578,24825.5,24833.375,24827.737295648836,24794.17959315803,1,
1770378840,24837.06734416289,24853.25,24828.5,24841,24828.942996044396,24796.01568754399,1,
1770378960,24839.033672081445,24866.5,24839.033672081445,24856.1875,24831.41976913127,24798.37536646383,1,
1770379080,24847.610586040722,24873.25,24847.610586040722,24859.75,24833.99524466479,24800.7822148378,1,
1770379200,24853.680293020363,24859.5,24836.5,24849.0625,24835.364995149812,24802.675559353964,1,
1770379320,24851.37139651018,24854.5,24834.75,24846.125,24836.34317740892,24804.379458987143,1,
1770379440,24848.74819825509,24852.5,24839.25,24847.5,24837.357434008107,24806.07046059549,1,
1770379560,24848.124099127544,24861,24838,24849.625,24838.472667280097,24807.778481748606,1,
1770379680,24848.87454956377,24860,24831.25,24844.1875,24838.99219752736,24809.206286385917,1,
1770379800,24846.531024781885,24846.531024781885,24821.25,24827.6875,24837.964497752146,24809.931039860978,,
1770379920,24837.109262390943,24837.109262390943,24802.25,24813.5625,24835.746134320132,24810.073450062508,,
1770380040,24825.33588119547,24825.33588119547,24783.75,24797.6875,24832.286258472846,24809.587726530644,,
1770380160,24811.511690597734,24825,24790,24804.875,24829.794325884406,24809.40291372552,,
1770380280,24808.193345298867,24812,24798,24806.6875,24827.69370534946,24809.296426912755,,
1770380400,24807.440422649433,24817,24798.25,24808,24825.90336849951,24809.245586641668,,
1770380520,24807.72021132472,24815.5,24801,24807.625,24824.241698635917,24809.182034224348,,
1770380640,24807.67260566236,24807.67260566236,24795.25,24801.125,24822.140180578106,24808.866072097902,,
1770380760,24804.39880283118,24804.39880283118,24790,24796.75,24819.831982343734,24808.39093201563,,
1770380880,24800.57440141559,24805.75,24789.5,24796.5625,24817.71657485794,24807.927071936585,,
1770381000,24798.568450707797,24813.5,24789.5,24802.625,24816.34461350722,24807.719147546915,,
1770381120,24800.5967253539,24823.75,24800.5967253539,24811.875,24815.938285006563,24807.882122152918,,
1770381240,24806.23586267695,24808.75,24775.25,24792.5625,24813.81321364233,24807.281352656726,,
1770381360,24799.399181338475,24799.399181338475,24778.25,24782.5,24810.966557856664,24806.309534905482,,
1770381480,24790.94959066924,24798,24778.75,24784.8125,24808.58891623333,24805.466513928797,,
1770381600,24787.88104533462,24810,24774.5,24792.25,24807.10356021212,24804.948219264923,,
1770381720,24790.06552266731,24813.5,24790.06552266731,24805.6875,24806.97482746556,24804.977210666297,,
1770381840,24797.876511333656,24810,24794,24803.4375,24806.65325224142,24804.916829855854,,
1770381960,24800.657005666828,24809.25,24797.25,24803.625,24806.37795658311,24804.866169861507,,
1770382080,24802.141002833414,24804,24794.5,24800.125,24805.809505984646,24804.680241631642,,
1770382200,24801.133001416707,24801.133001416707,24779,24789.4375,24804.321141804223,24804.08248705785,,
1770382320,24795.28525070835,24795.28525070835,24765.75,24774.6875,24801.627174367477,24802.929742467346,,1
1770382440,24784.986375354176,24784.986375354176,24761,24768.875,24798.649703970434,24801.59426237059,,1
1770382560,24776.930687677086,24793.25,24772.25,24781.75,24797.11336724585,24800.816056003114,,1
1770382680,24779.340343838543,24796,24779.340343838543,24786.5625,24796.154197496227,24800.2570930226,,1
1770382800,24782.95142191927,24794.5,24774.5,24782.75,24794.93563408748,24799.570540355046,,1
1770382920,24782.850710959636,24782.850710959636,24766.5,24775.4375,24793.163076443165,24798.62414661563,,1
1770383040,24779.14410547982,24779.14410547982,24765,24769.375,24791.000524039242,24797.477121258155,,1
1770383160,24774.25955273991,24775,24760.5,24767.75,24788.886840035673,24796.31135179705,,1
1770383280,24771.004776369955,24781.25,24763.75,24770.375,24787.203945486977,24795.29423996187,,1
1770383400,24770.689888184977,24779.5,24757.5,24770.875,24785.71949589725,24794.336622708463,,1
1770383520,24770.78244409249,24805.5,24770.78244409249,24791.6875,24786.262041724774,24794.232735543424,,
1770383640,24781.234972046244,24806.75,24781.234972046244,24793.75,24786.94276520434,24794.2138047378,,
1770383760,24787.492486023122,24798,24782.5,24788.1875,24787.055922913038,24793.977479061807,,1
1770383880,24787.839993011563,24822.75,24784,24803.75,24788.57356628458,24794.36071517703,,
1770384000,24795.79499650578,24840,24795.79499650578,24828.1875,24792.17483298598,24795.687255758323,,
1770384120,24811.99124825289,24842.75,24811.99124825289,24835.1875,24796.0850754418,24797.236284944272,,
1770384240,24823.589374126444,24848.5,24823.589374126444,24834.75,24799.600068583455,24798.70741102489,1,
1770384360,24829.169687063222,24834.75,24815.25,24826.5625,24802.051198712234,24799.799767455286,1,
1770384480,24827.86609353161,24827.86609353161,24817,24821,24803.773817011122,24800.631149123707,1,
1770384600,24824.433046765807,24853.25,24817.25,24832.5,24806.38528819193,24801.880907981602,1,
1770384720,24828.466523382904,24846,24821,24837.75,24809.236625629026,24803.287539041146,1,
1770384840,24833.10826169145,24845.75,24820.5,24835.3125,24811.60715966275,24804.54341986306,1,
1770384960,24834.210380845725,24834.210380845725,24778.25,24810.1875,24811.47809969341,24804.76475633902,1,
1770385080,24822.198940422863,24841.25,24801,24816.375,24811.923272448556,24805.220060012,1,
1770385200,24819.286970211433,24834.75,24809.25,24819.875,24812.646156771414,24805.794763540944,1,
1770385320,24819.580985105717,24834.5,24810,24817.5625,24813.09309706492,24806.256243402084,1,
1770385440,24818.571742552856,24820.5,24802.75,24810.875,24812.8914518772,24806.437371111806,,
1770385560,24814.72337127643,24819,24803.75,24809.0625,24812.54336534291,24806.540317342715,,
1770385680,24811.892935638214,24819.75,24803.75,24810.875,24812.39169576628,24806.710304897904,1,
1770385800,24811.383967819107,24821.75,24783.75,24803.0625,24811.543587060256,24806.567253725436,,
1770385920,24807.223233909554,24807.223233909554,24776.5,24788.6875,24809.46576096387,24805.866086912672,,
1770386040,24797.955366954775,24802,24788,24794.125,24808.071146330793,24805.405652131783,,
1770386160,24796.040183477387,24806,24781.25,24796.8125,24807.047633027993,24805.068665773673,,
1770386280,24796.426341738694,24805.75,24785.25,24798.0625,24806.23080275272,24804.793914174705,,
1770386400,24797.24442086935,24803,24785.25,24795.0625,24805.215502502473,24804.41229008942,,
1770386520,24796.153460434674,24801.25,24780,24789.25,24803.764093184065,24803.81769047807,,1
1770386640,24792.701730217337,24798.75,24775.75,24787.9375,24802.325311985514,24803.194937910303,,1
1770386760,24790.319615108667,24802.5,24782.5,24795.125,24801.67073816865,24802.878469756957,,1
1770386880,24792.722307554333,24817.5,24792.722307554333,24804.5,24801.92794378968,24802.942059178255,,
1770387000,24798.611153777165,24805.5,24791.5,24800.6875,24801.815176172437,24802.853645092833,,1
1770387120,24799.649326888582,24805.75,24789,24796.25,24801.30925106585,24802.594678618603,,1
1770387240,24797.94966344429,24797.94966344429,24782.25,24788.9375,24800.1845464235,24802.059102986503,,1
1770387360,24793.443581722146,24800.25,24782.25,24791.875,24799.429133112273,24801.659726398797,,1
1770387480,24792.659290861073,24808.75,24787.75,24800.3125,24799.509439192974,24801.606893991,,1
1770387600,24796.48589543054,24809.25,24795.75,24803.5625,24799.87789926634,24801.683584422724,,
1770387720,24800.02419771527,24803.5,24787.75,24797.25,24799.638999333034,24801.50971836693,,1
1770387840,24798.637098857635,24802.5,24775.5,24788.9375,24798.666135757303,24801.01669019568,,1
1770387960,24793.78729942882,24793.78729942882,24753,24770.0625,24796.065805233913,24799.802800384085,,1
1770388080,24781.92489971441,24783.75,24748,24762.6875,24793.03141384901,24798.347298408236,,1
1770388200,24772.306199857205,24774.5,24719,24751.9375,24789.2956034991,24796.527306313797,,1
1770388320,24762.121849928604,24873,24700.5,24798.5625,24790.138048635545,24796.607117830903,,
1770388440,24780.342174964302,24887,24780.342174964302,24861.875,24796.659589668678,24799.166642621847,,
1770388560,24821.10858748215,24877.75,24818,24857.0625,24802.15076333516,24801.43706840138,1,
1770388680,24839.085543741076,24923.5,24839.085543741076,24896.6875,24810.745012122872,24805.172379444462,1,
1770388800,24867.88652187054,24927.5,24846,24884.75,24817.47273829352,24808.29307044664,1,
1770388920,24876.31826093527,24899.5,24845,24873.6875,24822.583171175927,24810.857557880106,1,
1770389040,24875.002880467633,24943,24875.002880467633,24913.625,24830.859701069025,24814.887653649515,1,
1770389160,24894.313940233817,24949,24894.313940233817,24929.5,24839.82700097184,24819.382255467182,1,
1770389280,24911.906970116906,24950,24900,24930.375,24848.058637247126,24823.734912115528,1,
1770389400,24921.140985058453,24981,24917.25,24951.3125,24857.445352042843,24828.737954777665,1,
1770389520,24936.226742529227,24984,24929.5,24955.4375,24866.353729129856,24833.706564394226,1,
1770389640,24945.83212126461,24945.83212126461,24867.75,24906.625,24870.014753754414,24836.56611088857,1,
