Timeframe,Strategy,Params,Exit,Contracts,ATR_Period,Trades,Wins,Losses,Win_Rate,PnL,Profit_Factor,Avg_Win,Avg_Loss,Max_DD,Max_Daily_DD,Costs,Final_Equity
3min,Momentum,lookback=13|atr_mult=2.5,SL50_TP100,1,14,471,148,323,31.42,-3411.04,0.81,95.33,54.24,3525.84,672.96,1526.04,146588.96
5min,RSI_Reversion,rsi_period=14|rsi_buy=30|rsi_sell=70,SL75_TP200_Tr1.5,3,5,109,33,76,30.28,-3411.56,0.79,386.37,212.65,4708.19,877.22,1059.48,146588.44
2min,RSI_Reversion,rsi_period=7|rsi_buy=20|rsi_sell=80,SL50_Trail1x,1,10,362,109,253,30.11,-3411.7,0.59,44.85,32.81,3996.04,510.41,1172.88,146588.3
5min,Stochastic,k_per=14|d_per=5|ob=75|os_level=25,SL40_TP80,1,5,328,93,235,28.35,-3412.72,0.67,75.09,44.24,4081.76,379.36,1062.72,146587.28
5min,Stochastic,k_per=14|d_per=5|ob=75|os_level=25,SL40_TP80,1,10,328,93,235,28.35,-3412.72,0.67,75.09,44.24,4081.76,379.36,1062.72,146587.28
5min,Stochastic,k_per=14|d_per=5|ob=75|os_level=25,SL40_TP80,1,14,328,93,235,28.35,-3412.72,0.67,75.09,44.24,4081.76,379.36,1062.72,146587.28
5min,VWAP_Reversion,vwap_dist=2.0,SL50_TP150,5,5,444,117,327,26.35,-3412.8,0.96,728.8,271.2,14224.0,2254.4,7192.8,146587.2
5min,Stochastic,k_per=9|d_per=5|ob=70|os_level=30,SL75_TP150,3,5,333,116,217,34.83,-3413.73,0.93,415.27,237.72,9822.47,2215.8,3236.76,146586.27
5min,Stochastic,k_per=9|d_per=5|ob=70|os_level=30,SL75_TP150,3,10,333,116,217,34.83,-3413.73,0.93,415.27,237.72,9822.47,2215.8,3236.76,146586.27
5min,Stochastic,k_per=9|d_per=5|ob=70|os_level=30,SL75_TP150,3,14,333,116,217,34.83,-3413.73,0.93,415.27,237.72,9822.47,2215.8,3236.76,146586.27
5min,RSI_Reversion,rsi_period=5|rsi_buy=15|rsi_sell=85,SL75_TP200_Tr1.5,1,10,146,38,108,26.03,-3417.53,0.52,97.58,65.98,3963.77,792.4,473.04,146582.47
5min,VWAP_Reversion,vwap_dist=1.0,SL50_TP150,3,10,693,182,511,26.26,-3417.96,0.96,437.28,162.43,9878.88,2136.0,6735.96,146582.04
1min,VWAP_Reversion,vwap_dist=3.0,SL100_TP200,3,5,470,163,307,34.68,-3419.39,0.96,568.01,312.72,11260.19,2227.2,4568.4,146580.61
1min,RSI_Reversion,rsi_period=7|rsi_buy=15|rsi_sell=85,SL50_TP150_Tr1x,1,5,259,64,195,24.71,-3420.12,0.33,25.74,25.99,3420.12,457.45,839.16,146579.88
1min,Momentum,lookback=5|atr_mult=2.5,SL75_TP150,5,5,371,127,244,34.23,-3420.33,0.96,633.64,343.82,9935.63,2377.2,6010.2,146579.67
3min,RSI_Reversion,rsi_period=9|rsi_buy=20|rsi_sell=80,SL50_Trail1x,5,5,98,26,72,26.53,-3421.5,0.76,427.62,201.94,5789.62,1084.8,1587.6,146578.5
2min,Momentum,lookback=13|atr_mult=1.5,SL100_TP200,1,10,774,258,516,33.33,-3424.72,0.93,166.56,89.92,4070.76,2092.32,2507.76,146575.28
5min,Momentum,lookback=13|atr_mult=2.5,SL75_TP150,1,5,304,92,212,30.26,-3424.96,0.8,144.52,78.87,3789.32,1188.6,984.96,146575.04
3min,Stochastic,k_per=14|d_per=5|ob=75|os_level=25,SL50_TP150,1,5,432,104,328,24.07,-3425.67,0.81,138.13,54.24,4164.95,918.72,1399.68,146574.33
3min,Stochastic,k_per=14|d_per=5|ob=75|os_level=25,SL50_TP150,1,10,432,104,328,24.07,-3425.67,0.81,138.13,54.24,4164.95,918.72,1399.68,146574.33
3min,Stochastic,k_per=14|d_per=5|ob=75|os_level=25,SL50_TP150,1,14,432,104,328,24.07,-3425.67,0.81,138.13,54.24,4164.95,918.72,1399.68,146574.33
5min,RSI_Reversion,rsi_period=9|rsi_buy=25|rsi_sell=75,SL75_TP200_Tr1.5,1,10,140,39,101,27.86,-3425.95,0.51,89.64,68.53,3449.15,633.92,453.6,146574.05
5min,RSI_Reversion,rsi_period=9|rsi_buy=30|rsi_sell=70,SL75_TP200_Tr1.5,1,5,254,73,181,28.74,-3426.27,0.7,108.87,62.84,3955.44,676.22,822.96,146573.73
2min,Stochastic,k_per=14|d_per=5|ob=80|os_level=20,SL50_TP100,1,5,493,157,336,31.85,-3427.32,0.81,94.25,54.24,4517.68,1272.96,1597.32,146572.68
2min,Stochastic,k_per=14|d_per=5|ob=80|os_level=20,SL50_TP100,1,10,493,157,336,31.85,-3427.32,0.81,94.25,54.24,4517.68,1272.96,1597.32,146572.68
2min,Stochastic,k_per=14|d_per=5|ob=80|os_level=20,SL50_TP100,1,14,493,157,336,31.85,-3427.32,0.81,94.25,54.24,4517.68,1272.96,1597.32,146572.68
3min,RSI_Reversion,rsi_period=7|rsi_buy=30|rsi_sell=70,SL100_Trail2x,1,14,504,164,340,32.54,-3428.14,0.86,129.6,72.6,5521.09,977.68,1632.96,146571.86
1min,RSI_Reversion,rsi_period=5|rsi_buy=15|rsi_sell=85,SL100_Trail2x,1,14,589,193,396,32.77,-3429.62,0.81,74.25,44.85,4038.85,1313.51,1908.36,146570.38
3min,Stochastic,k_per=5|d_per=3|ob=80|os_level=20,SL100_TP200,1,5,271,98,173,36.16,-3431.07,0.81,148.39,103.89,3878.27,920.08,878.04,146568.93
3min,Stochastic,k_per=5|d_per=3|ob=80|os_level=20,SL100_TP200,1,10,271,98,173,36.16,-3431.07,0.81,148.39,103.89,3878.27,920.08,878.04,146568.93
3min,Stochastic,k_per=5|d_per=3|ob=80|os_level=20,SL100_TP200,1,14,271,98,173,36.16,-3431.07,0.81,148.39,103.89,3878.27,920.08,878.04,146568.93
3min,VWAP_Reversion,vwap_dist=3.0,SL75_TP150,3,14,429,146,283,34.03,-3431.88,0.95,437.28,237.72,9535.68,2198.28,4169.88,146568.12
