symbol,contracts,hard_stop,ema_fast,ema_slow,stoch_lo,stoch_hi,sl_atr_mult,tp_rr,starting_equity,final_equity,total_pnl,total_return_pct,total_trades,win_count,loss_count,win_rate,avg_win,avg_loss,avg_trade,profit_factor,gross_profit,gross_loss,total_fees,fee_per_trade,max_drawdown_pct,max_drawdown_dollars,max_daily_loss,max_daily_profit,avg_daily_pnl,sharpe_ratio,trading_days,rt_cost_per_trade
MES,2,100,21,55,25,75,1.5,1.5,10000.0,23509.56734382083,13509.567343820167,135.0956734382083,955,493,462,51.62303664921466,133.87933500532034,-113.6210926705691,14.1461438155185,1.257359677414563,66002.51215762326,52492.94481380258,13809.29999999968,14.459999999999663,10.564056111199871,1578.399999999965,-737.9800000000002,948.7799999999999,110.73415855590163,5.696870854909345,122,14.46
MES,2,80,21,55,25,75,2.0,1.8,10000.0,23258.870552558237,13258.870552557522,132.58870552558238,1017,488,529,47.984267453294,129.53999999999635,-94.43601029761982,13.037237514805824,1.265407522306053,63215.519999997734,49956.6494474405,14705.819999999625,14.459999999999631,10.509112904568473,1279.320000000007,-850.1400000000002,976.939999999967,107.79569554924666,5.867128738278241,123,14.46
MES,2,80,21,55,25,75,2.5,1.8,10000.0,23246.179999999113,13246.179999998396,132.46179999999111,1017,488,529,47.984267453294,129.53999999999635,-94.46000000000002,13.024759095376988,1.2650861508276519,63215.519999997734,49969.33999999962,14705.819999999625,14.459999999999631,10.509112904568473,1279.320000000007,-850.1400000000002,976.939999999967,107.69252032518874,5.859450190138842,123,14.46
MES,1,100,21,55,25,75,1.5,2.0,10000.0,23224.035403788006,13224.03540378802,132.24035403788005,628,283,345,45.06369426751593,160.2173440280847,-93.094124510609,21.057381216222964,1.4117395980013268,45341.50835994781,32117.472956160007,4540.439999999982,7.229999999999972,10.69897461628995,1266.720382132571,-660.2922690879049,1430.7127456737119,112.35034533152013,5.383480378942106,117,7.23
MES,2,80,21,55,25,75,1.5,1.8,10000.0,23199.05855391063,13199.058553909907,131.9905855391063,1020,490,530,48.03921568627451,128.98443624258377,-94.34587774520061,12.940253484225398,1.2639636692049063,63202.37375886558,50003.31520495593,14749.199999999622,14.45999999999963,10.468533854169937,1279.320000000007,-850.1400000000002,976.939999999967,107.30941913747749,5.875794077996417,123,14.46
MES,1,80,21,55,25,75,1.5,2.0,10000.0,23073.78489052384,13073.78489052382,130.7378489052384,713,323,390,45.3015427769986,138.92971437937373,-81.5397765487541,18.33630419428306,1.4111186807125133,44874.29774453753,31800.512854013978,5154.989999999945,7.229999999999923,7.5757061578100355,1310.2027276460612,-872.3000000000001,1063.4827456737119,109.19949487834968,5.771035157440482,119,7.23
MES,1,100,21,55,25,75,2.5,1.8,10000.0,23016.472287603585,13016.472287603505,130.16472287603585,514,244,270,47.47081712062256,171.12961858459784,-106.44131350754998,25.323876045921217,1.4529177161773177,41755.626934641776,28739.1546470384,3716.2200000000084,7.230000000000016,9.250058779138651,1322.4399999999878,-577.84,1298.78,112.49936771829019,5.769142010553565,115,7.23
MES,3,80,21,55,25,75,1.5,2.0,10000.0,22152.279999997816,12152.279999997954,121.52279999997818,1188,554,634,46.63299663299663,138.30999999999088,-101.68999999999546,10.229191919190198,1.1884908454066188,76623.7399999953,64471.459999996885,25767.71999999956,21.689999999999632,14.53771928369933,2049.849999999955,-687.3199999999963,1114.649999999918,98.79902439022638,4.391975241903675,123,21.689999999999998
MES,3,80,21,55,25,75,2.0,2.0,10000.0,22152.279999997816,12152.279999997954,121.52279999997818,1188,554,634,46.63299663299663,138.30999999999088,-101.68999999999546,10.229191919190198,1.1884908454066188,76623.7399999953,64471.459999996885,25767.71999999956,21.689999999999632,14.53771928369933,2049.849999999955,-687.3199999999963,1114.649999999918,98.79902439022638,4.391975241903675,123,21.689999999999998
MES,3,80,21,55,25,75,2.5,2.0,10000.0,22152.279999997816,12152.279999997954,121.52279999997818,1188,554,634,46.63299663299663,138.30999999999088,-101.68999999999546,10.229191919190198,1.1884908454066188,76623.7399999953,64471.459999996885,25767.71999999956,21.689999999999632,14.53771928369933,2049.849999999955,-687.3199999999963,1114.649999999918,98.79902439022638,4.391975241903675,123,21.689999999999998
MES,1,80,21,55,25,75,2.5,1.5,10000.0,21896.118957866158,11896.118957866067,118.96118957866157,692,362,330,52.312138728323696,112.29667820812989,-87.13720773780958,17.190923349517437,1.4137020942343617,40651.39751134291,28755.278553477037,5003.159999999954,7.229999999999934,5.599339267940656,944.5999999999913,-672.3000000000001,727.6999999999999,101.67623040910989,6.907000985491786,117,7.23
MES,1,80,21,55,25,75,1.5,1.8,10000.0,21737.53053168014,11737.530531680219,117.37530531680139,740,351,389,47.43243243243243,123.28440588864841,-81.06759880523262,15.86152774551381,1.3722029612719029,43272.82646691577,31535.29593523537,5350.199999999933,7.22999999999991,7.347727021174888,1423.4327792667646,-872.3000000000001,919.7000000000072,97.15404609733413,5.7539811722755845,120,7.23
MES,1,80,21,55,25,75,2.0,1.8,10000.0,21537.309540984566,11537.309540984688,115.37309540984566,657,309,348,47.03196347031963,134.38886814919653,-86.17485838252063,17.560592908652495,1.384719963089467,41526.16025810187,29988.850717117053,4750.10999999997,7.229999999999954,7.477134933428619,1072.5999999999913,-872.3000000000001,931.5500000000089,97.10393678800466,5.589045409668985,118,7.23
MES,1,80,21,55,25,75,2.0,1.5,10000.0,21355.835891231683,11355.835891231593,113.55835891231682,707,367,340,51.90947666195191,110.38476341921385,-85.75109495182375,16.062002675009325,1.3894937708482407,40511.20817485137,29155.37228361995,5111.609999999948,7.229999999999926,5.6364020890190885,944.5999999999913,-672.3000000000001,727.6999999999999,95.42719236328912,6.4361255181358406,119,7.23
MES,1,80,21,55,25,75,2.5,1.8,10000.0,21289.711157061756,11289.711157061862,112.89711157061757,642,301,341,46.88473520249221,136.24483195129997,-87.15537612985206,17.585219870812868,1.379869364601918,41009.69441734141,29719.983260279423,4641.659999999976,7.229999999999963,9.420498381907882,1072.5999999999913,-872.3000000000001,931.5500000000089,95.81765946206617,5.416661378699869,117,7.23
MES,1,80,21,55,25,75,2.0,2.0,10000.0,21253.14075174843,11253.140751748353,112.5314075174843,632,277,355,43.82911392405063,150.9412996779014,-86.07774439163525,17.805602455298025,1.3682599754109495,41810.740010778565,30557.599259030387,4569.359999999981,7.229999999999969,8.723624676711404,1024.5999999999913,-872.3000000000001,1091.55,95.50509189528348,4.957996250840404,117,7.23
MES,1,80,21,55,25,75,1.5,1.5,10000.0,21112.313387960017,11112.313387959986,111.12313387960018,773,404,369,52.26390685640362,101.2835380933097,-80.7757073217814,14.375567125433358,1.3728184057628787,40918.54938969701,29806.236001737216,5588.789999999919,7.229999999999896,5.569946800837646,944.5999999999913,-672.3000000000001,727.6999999999999,91.83730072694031,6.3095735997657,121,7.23
